year,ZJ,Trend,5-year slope,interpolation,10-year slope,interpolation,20-year slope,interpolation
,,,,,,,,
2005.2,9,9.9,,9.9,,9.9,,9.9
2006.2,11.9,,,10.9,,10.9,,11
2007.2,13.5,,,11.9,,12,,12.1
2008.2,13.3,,,12.9,,13,,13.1
2009.2,12.6,,,13.9,,14,,14.2
2010.2,15.9,14.9,1,14.9,,15.1,,15.3
2011.2,15.2,,,16,,16.1,,16.4
2012.2,17.3,,,17,,17.1,,17.4
2013.2,20.3,,,18.1,,18.1,,18.5
2014.2,20.9,,,19.1,,19.2,,19.6
2015.2,23.4,20.2,1.06,20.2,1.03,20.2,,20.7
2016.2,22.8,,,21.3,,21.3,,21.7
2017.2,23.7,,,22.4,,22.4,,22.8
2018.2,25.4,,,23.5,,23.6,,23.9
2019.2,25.7,,,24.6,,24.7,,25
2020.2,27.4,25.7,1.1,25.7,,25.8,,26
2021.2,27.4,,,26.8,,26.9,,27.1
2022.2,28.3,,,28,,28,,28.2
2023.2,29.3,,,29.1,,29.2,,29.3
2024.2,30.8,,,30.3,,30.3,,30.3
2025.2,31.9,31.4,1.14,31.4,1.12,31.4,1.075,31.4
