# module	line	label -- every annotated site the L-192 report names.
# Generated from WORKSHEET_CHECK.md at 305b269.
constants_new.py	54	KM_PER_AU
constants_new.py	62	SUN_RADIUS_KM
constants_new.py	72	EARTH_EQUATORIAL_RADIUS_KM
constants_new.py	80	EARTH_POLAR_RADIUS_KM
constants_new.py	86	JUPITER_EQUATORIAL_RADIUS_KM
constants_new.py	92	JUPITER_POLAR_RADIUS_KM
constants_new.py	98	SPEED_OF_LIGHT_KM_S
constants_new.py	173	CHROMOSPHERE_PHYSICAL_KM
constants_new.py	184	INNER_CORONA_RADII
constants_new.py	195	STREAMER_BELT_RADII
constants_new.py	203	ROCHE_LIMIT_RADII
constants_new.py	213	ALFVEN_SURFACE_RADII
constants_new.py	228	TERMINATION_SHOCK_AU
constants_new.py	235	HELIOPAUSE_RADII
constants_new.py	277	PARKER_CLOSEST_RADII
constants_new.py	334	MOON_RADIUS_KM
constants_new.py	341	MARS_RADIUS_KM
constants_new.py	349	SATURN_RADIUS_KM
constants_new.py	354	URANUS_RADIUS_KM
constants_new.py	359	NEPTUNE_RADIUS_KM
constants_new.py	367	BENNU_RADIUS_KM
constants_new.py	377	HAUMEA_RADIUS_KM
constants_new.py	388	ARROKOTH_RADIUS_KM
eris_visualization_shells.py	218	eris_crust_info
eris_visualization_shells.py	478	eris_hill_sphere_info
mars_visualization_shells.py	586	mars_upper_atmosphere_info
mars_visualization_shells.py	674	mars_magnetosphere_info
mars_visualization_shells.py	788	bow_shock_text
mars_visualization_shells.py	925	mars_hill_sphere_info
mercury_visualization_shells.py	49	mercury_outer_core_info
mercury_visualization_shells.py	71	mercury_crust_info
mercury_visualization_shells.py	97	mercury_sodium_tail_info
mercury_visualization_shells.py	254	mercury_magnetosphere_info
mercury_visualization_shells.py	424	mercury_hill_sphere_info
moon_visualization_shells.py	228	moon_mantle_info
moon_visualization_shells.py	586	moon_hill_sphere_info
pluto_visualization_shells.py	41	pluto_core_info
pluto_visualization_shells.py	61	description
pluto_visualization_shells.py	136	pluto_mantle_info
pluto_visualization_shells.py	155	description
pluto_visualization_shells.py	227	pluto_crust_info
pluto_visualization_shells.py	400	pluto_haze_layer_info
pluto_visualization_shells.py	423	description
pluto_visualization_shells.py	535	description
pluto_visualization_shells.py	614	pluto_hill_sphere_info
pluto_visualization_shells.py	638	description
venus_visualization_shells.py	74	venus_core_info
venus_visualization_shells.py	100	description
venus_visualization_shells.py	391	venus_atmosphere_info
venus_visualization_shells.py	503	description
venus_visualization_shells.py	594	venus_magnetosphere_info
venus_visualization_shells.py	747	venus_hill_sphere_info

# RETIRED sites -- skipped by the round trip, kept as the record of
# why the site left the corpus. Format: RETIRED<tab>date<tab>handle<tab>site
RETIRED	2026-08-16	L-196	constants_new.py	162	CHROMOSPHERE_RADII
