,,,,,,,,,,,,,
,,,,,,,,,,,,,
Visualization by Distance (LY),,,,,,,,,,,,,
,,,,,,,,,,,,,
Parameter,5 LY,10 LY,15 LY,20 LY,30 LY,40 LY,50 LY,60 LY ,70 LY,80 LY,90 LY,100 LY,100.1 LY
,,,,,,,,,,,,,
Unique Stars Detected,3,11,43,99,250,597,1150,2026,3245,4925,7078,9721,9749
Stars Plotted,3,11,43,99,250,597,1150,2026,3245,4925,7078,9721,9749
Plotted from Hipparcos,2,3,6,9,17,27,38,50,63,83,103,117,117
 -- bright,2,3,4,5,7,9,10,11,12,13,14,14,14
 -- midrange,0,0,2,4,10,18,28,39,51,70,89,103,103
Plotted from Gaia: ,1,8,37,90,233,570,1112,1976,3182,4842,6975,9604,9632
-- with temperature,1,8,35,87,225,552,1059,1829,2840,4136,5654,7431,7453
-- without temperature,0,0,2,3,8,18,53,147,342,706,1321,2173,2179
,,,,,,,,,,,,,
Check: total stars plotted,3,11,43,99,250,597,1150,2026,3245,4925,7078,9721,9749
star_properties_distance.pkl,,1235 kb,1239 kb,1247 kb,1268 kb,1316 kb,1393 kb,1520 kb,1693 kb,1934 kb,2247 kb,2629 kb,2636 kb
,,,,,,,,,,,,,
Visualization by Apparent Magnitude (Vmag),,,,,,,,,,,,,
,,,,,,,,,,,,,
Parameter,Vmag -1.44,Vmag 0,Vmag 1,Vmag 2,Vmag 3,Vmag 4,Vmag 5,Vmag 6,Vmag 6.5,Vmag 7,Vmag 8,Vmag 9,
,,,,,,,,,,,,,
Objects Plotted,1,6,17,52,181,526,1587,4788,8333,14668,43224,123926,
Stars Plotted,1,4,15,49,177,518,1577,4771,8315,14650,43204,123901,
Plotted from Hipparcos,1,4,15,49,177,518,518,518,518,518,518,518,
 -- bright ,1,4,15,31,31,31,30,30,30,30,30,30,
 -- midrange,0,0,0,18,146,487,488,488,488,488,488,488,
Check: Plotted from Gaia,0,0,0,0,0,0,1059,4253,7797,14132,42686,123383,
Plotted from Gaia,0,0,0,0,0,0,1059,4253,7797,14132,42686,123383,
-- with temperature,0,0,0,0,0,0,1042,4209,7724,14009,42310,122066,
-- without temperature,0,0,0,0,0,0,17,44,73,123,376,1317,
Non-stellar objects,0,2,2,3,4,8,10,17,18,18,20,25,
,,,,,,,,,,,,,
Check: total objects plotted,1,6,17,52,181,526,1587,4788,8333,14668,43224,123926,
star_properties_magnitude.pkl,14126 kb,14126 kb,14127 kb,14130 kb,14142 kb,14172 kb,14325 kb,14782 kb,15288 kb,16191 kb,20272 kb,31814 kb,
gaia_data_magnitude.vot,,,,,,,,,,,291178 kb,291178 kb,
